,회사명,하위업종,상위업종
400,제놀루션,기초 의약물질 및 생물학적 제제 제조업,제조업
401,솔트룩스,소프트웨어 개발 및 공급업,정보기술 및 통신업
402,티에스아이,특수 목적용 기계 제조업,제조업
403,에이프로,기타 전기장비 제조업,정보기술 및 통신업
404,소마젠,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
405,신도기연,특수 목적용 기계 제조업,제조업
406,위더스제약,의약품 제조업,식품 및 음료제조업
407,엠브레인,시장조사 및 여론조사업,서비스업
408,젠큐릭스,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
409,HB솔루션,특수 목적용 기계 제조업,제조업
410,에스에이티이엔지,특수 목적용 기계 제조업,제조업
411,에스씨엠생명과학,의약품 제조업,식품 및 음료제조업
412,휴럼,기타 식품 제조업,식품 및 음료제조업
413,이지바이오,동물용 사료 및 조제식품 제조업,제조업
414,드림씨아이에스,자연과학 및 공학 연구개발업,제조업
415,엔피디,전자부품 제조업,제조업
416,플레이디,광고업,서비스업
417,서울바이오시스,반도체 제조업,제조업
418,제이앤티씨,전자부품 제조업,제조업
419,켄코아에어로스페이스,"항공기,우주선 및 부품 제조업",제조업
420,레몬,화학섬유 제조업,제조업
421,서남,기타 전기장비 제조업,정보기술 및 통신업
422,위세아이텍,소프트웨어 개발 및 공급업,정보기술 및 통신업
423,세림B&G,플라스틱제품 제조업,제조업
424,CJ 바이오사이언스,자연과학 및 공학 연구개발업,제조업
425,피피아이,통신 및 방송 장비 제조업,정보기술 및 통신업
426,RF머트리얼즈,전자부품 제조업,제조업
427,아이비김영,일반 교습 학원,서비스업
428,브릿지바이오,기초 의약물질 및 생물학적 제제 제조업,제조업
429,다보링크,통신 및 방송 장비 제조업,정보기술 및 통신업
430,메드팩토,자연과학 및 공학 연구개발업,제조업
431,원텍,의료용 기기 제조업,제조업
432,신테카바이오,소프트웨어 개발 및 공급업,정보기술 및 통신업
433,제이엘케이,소프트웨어 개발 및 공급업,정보기술 및 통신업
434,태웅로직스,기타 운송관련 서비스업,운송 및 물류업
435,윙스풋,"섬유, 의복, 신발 및 가죽제품 소매업",도매 및 소매업
436,리메드,의료용 기기 제조업,제조업
437,비올,의료용 기기 제조업,제조업
438,웨이버스,소프트웨어 개발 및 공급업,정보기술 및 통신업
439,HLB바이오스텝,자연과학 및 공학 연구개발업,제조업
440,티움바이오,자연과학 및 공학 연구개발업,제조업
441,씨에스베어링,일반 목적용 기계 제조업,제조업
442,우양,"과실, 채소 가공 및 저장 처리업",식품 및 음료제조업
443,코리아에셋투자증권,금융 지원 서비스업,서비스업
444,에스제이그룹,"가죽, 가방 및 유사제품 제조업",제조업
445,제테마,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
446,라파스,기타 화학제품 제조업,제조업
447,아이티엠반도체,전자부품 제조업,제조업
448,일승,선박 및 보트 건조업,제조업
449,미디어젠,소프트웨어 개발 및 공급업,정보기술 및 통신업
450,모코엠시스,소프트웨어 개발 및 공급업,정보기술 및 통신업
451,티라유텍,소프트웨어 개발 및 공급업,정보기술 및 통신업
452,밸로프,소프트웨어 개발 및 공급업,정보기술 및 통신업
453,캐리소프트,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
454,케이엔제이,반도체 제조업,제조업
455,엔바이오니아,그외 기타 제품 제조업,제조업
456,팜스빌,기타 식품 제조업,식품 및 음료제조업
457,라온피플,소프트웨어 개발 및 공급업,정보기술 및 통신업
458,아톤,소프트웨어 개발 및 공급업,정보기술 및 통신업
459,녹십자웰빙,의약품 제조업,식품 및 음료제조업
460,누보,"비료, 농약 및 살균, 살충제 제조업",제조업
461,포커스에이치엔에스,영상 및 음향기기 제조업,제조업
462,올리패스,기초 의약물질 및 생물학적 제제 제조업,제조업
463,라닉스,반도체 제조업,제조업
464,윈텍,특수 목적용 기계 제조업,제조업
465,한독크린텍,일반 목적용 기계 제조업,제조업
466,네오크레마,기타 식품 제조업,식품 및 음료제조업
